E,T,lOCode,lOComment,locCodeAndComment,defects
6420.79,356.71,14,10,0,FALSE
544.91,30.27,6,0,0,FALSE
1925.68,106.98,10,0,1,FALSE
5596.62,310.92,18,1,7,FALSE
10852.6,602.92,16,1,3,FALSE
27.14,1.51,3,0,0,FALSE
296.48,16.47,4,0,2,FALSE
17423.93,968,19,0,0,FALSE
173359.85,9631.1,65,0,0,FALSE
11715.15,650.84,23,0,0,FALSE
755.8,41.99,7,12,0,FALSE
4888.17,271.56,32,4,0,FALSE
10903.69,605.76,32,8,0,FALSE
5645.08,313.62,45,0,0,FALSE
326.92,18.16,5,0,0,FALSE
236.11,13.12,4,0,0,FALSE
251.91,14,5,1,0,FALSE
1609.32,89.41,10,0,0,FALSE
4683.66,260.2,10,0,0,FALSE
13562.53,753.47,13,0,0,FALSE
479.73,26.65,5,5,3,FALSE
4846.95,269.28,14,6,4,FALSE
118.87,6.6,5,1,0,FALSE
118.87,6.6,5,1,0,FALSE
1318.14,73.23,11,18,0,FALSE
7898.75,438.82,22,0,2,FALSE
1189.42,66.08,12,4,0,FALSE
139.52,7.75,1,0,2,FALSE
58228.77,3234.93,62,38,2,FALSE
3155.71,175.32,11,0,1,FALSE
21801.15,1211.17,19,0,0,FALSE
119.59,6.64,0,0,0,FALSE
34316.47,1906.47,46,8,0,FALSE
14896.06,827.56,17,0,0,FALSE
22487.01,1249.28,47,15,0,FALSE
52918.65,2939.92,65,5,7,FALSE
13671.55,759.53,37,8,4,FALSE
3880.98,215.61,13,2,0,FALSE
221.89,12.33,4,0,2,FALSE
804.75,44.71,9,13,0,FALSE
2409.08,133.84,12,5,0,FALSE
115969.02,6442.72,122,6,1,FALSE
9725.72,540.32,24,1,0,FALSE
28547.12,1585.95,24,0,0,FALSE
7679.54,426.64,19,0,0,FALSE
1389.74,77.21,11,3,0,FALSE
866.67,48.15,8,0,0,FALSE
0,0,0,0,0,FALSE
733.44,40.75,12,0,0,FALSE
6265.89,348.11,27,3,0,FALSE
3258.16,181.01,17,3,0,FALSE
22083.6,1226.87,32,21,0,FALSE
149.49,8.3,11,0,0,FALSE
7793.81,432.99,61,50,2,FALSE
17.41,0.97,4,0,0,FALSE
215.55,11.98,11,0,0,FALSE
432,24,6,3,1,FALSE
19255.97,1069.78,23,13,2,FALSE
139.48,7.75,4,0,0,FALSE
14109.14,783.84,21,0,0,FALSE
907.38,50.41,11,0,0,FALSE
152.16,8.45,0,0,0,FALSE
88343.08,4907.95,73,1,4,FALSE
12420.23,690.01,13,0,0,FALSE
53612.97,2978.5,40,16,2,FALSE
1379.46,76.64,16,1,0,FALSE
6396.36,355.35,10,0,0,FALSE
3998.33,222.13,19,4,0,FALSE
10506.27,583.68,28,10,0,FALSE
10506.27,583.68,28,10,0,FALSE
17192.85,955.16,24,0,3,FALSE
185.02,10.28,9,0,0,FALSE
26767.81,1487.1,33,25,2,FALSE
332.19,18.46,6,0,0,FALSE
1274.38,70.8,12,0,0,FALSE
21677.08,1204.28,42,7,0,FALSE
3691.87,205.1,21,5,0,FALSE
5282.39,293.47,21,0,0,FALSE
15698.57,872.14,21,4,1,FALSE
29576.11,1643.12,36,5,0,FALSE
37848.02,2102.67,37,5,0,FALSE
1168.18,64.9,7,1,0,FALSE
6507.43,361.52,19,0,2,FALSE
609.45,33.86,8,3,2,FALSE
942.33,52.35,11,15,2,FALSE
6326.82,351.49,11,0,0,FALSE
16883.11,937.95,62,12,15,FALSE
172.44,9.58,4,0,0,FALSE
108.97,6.05,4,0,0,FALSE
2485.46,138.08,9,0,0,FALSE
12,0.67,3,0,0,FALSE
876.39,48.69,10,0,0,FALSE
48322.11,2684.56,41,7,0,FALSE
23608.35,1311.58,45,7,1,FALSE
1,0.06,5,0,0,FALSE
9393.71,521.87,16,0,0,FALSE
46.53,2.58,4,0,0,FALSE
296.65,16.48,4,0,0,FALSE
594,33,9,1,0,FALSE
376.05,20.89,12,3,0,FALSE
186.03,10.33,3,0,0,FALSE
1834.45,101.91,9,0,0,FALSE
446.5,24.81,5,0,0,FALSE
4150.16,230.56,13,6,0,FALSE
1136.92,63.16,13,0,0,FALSE
803.88,44.66,8,0,0,FALSE
169364.46,9409.14,77,9,0,FALSE
248,13.78,8,0,0,FALSE
98.9,5.49,4,2,0,FALSE
252471.13,14026.17,64,1,10,FALSE
3363.72,186.87,11,0,0,FALSE
65489.41,3638.3,44,5,0,FALSE
286.8,15.93,4,2,0,FALSE
622.17,34.57,4,0,2,FALSE
25890.47,1438.36,41,29,11,FALSE
56.15,3.12,4,0,0,FALSE
7181.41,398.97,34,0,0,FALSE
496.63,27.59,7,1,0,FALSE
39.3,2.18,3,0,0,FALSE
13084.83,726.94,28,0,0,FALSE
191759.06,10653.28,143,7,12,FALSE
1168.74,64.93,9,2,0,FALSE
39.3,2.18,2,0,1,FALSE
5956.4,330.91,17,0,0,FALSE
110.95,6.16,3,0,0,FALSE
53537.93,2974.33,49,8,0,FALSE
7545.68,419.2,37,0,0,FALSE
3676.73,204.26,10,3,0,FALSE
6421.58,356.75,11,0,0,FALSE
636348.83,35352.71,102,24,42,FALSE
24336.47,1352.03,39,3,0,FALSE
7869.25,437.18,19,1,0,FALSE
1345.7,74.76,13,0,0,FALSE
170637.7,9479.87,87,0,2,FALSE
34502.44,1916.8,70,0,0,FALSE
3211.42,178.41,21,1,0,FALSE
3973.8,220.77,11,0,0,FALSE
53996.81,2999.82,40,7,0,FALSE
1685.67,93.65,10,0,0,FALSE
2752.77,152.93,10,0,0,FALSE
362.64,20.15,12,0,0,FALSE
186.03,10.33,5,0,0,FALSE
170295.87,9460.88,67,0,0,FALSE
31867.04,1770.39,29,1,0,FALSE
65518.01,3639.89,68,34,1,FALSE
18517.95,1028.77,52,12,2,FALSE
580.17,32.22,7,0,0,FALSE
640223.79,35567.99,99,24,42,FALSE
18654.39,1036.34,12,0,0,FALSE
2107.08,117.06,13,1,0,FALSE
1469.46,81.64,7,0,1,FALSE
499.41,27.75,10,0,0,FALSE
60857.94,3381,41,12,0,FALSE
11574.36,643.02,37,10,5,FALSE
4949.88,274.99,11,0,0,FALSE
11016.6,612.03,28,7,0,FALSE
585.25,32.5,9,8,0,FALSE
961.25,53.4,5,0,0,FALSE
558.13,31.01,8,0,0,FALSE
9828.72,546.04,22,0,0,FALSE
142018.98,7889.94,83,34,0,FALSE
31.02,1.72,4,0,0,FALSE
14355.42,797.52,37,0,2,FALSE
2290.24,127.24,9,1,0,FALSE
4852.71,269.59,22,0,0,FALSE
1208.3,67.13,3,0,0,FALSE
15311.87,850.66,43,10,5,FALSE
21196.67,1177.59,28,19,3,FALSE
24290.93,1349.5,36,20,1,FALSE
47834.26,2657.46,26,0,0,FALSE
3539.66,196.65,9,0,0,FALSE
78099.28,4338.85,76,13,0,FALSE
26406.88,1467.05,31,27,0,FALSE
4519.69,251.09,10,0,0,FALSE
1514.32,84.13,11,1,1,FALSE
41.36,2.3,5,0,0,FALSE
23323.93,1295.77,43,27,1,FALSE
380.74,21.15,7,2,0,FALSE
1552.49,86.25,8,0,0,FALSE
2831.11,157.28,14,1,0,FALSE
574.49,31.92,4,0,0,FALSE
1440,80,8,0,0,FALSE
19337.41,1074.3,26,19,5,FALSE
16997.52,944.31,40,16,0,FALSE
3421.92,190.11,9,0,2,FALSE
8781.18,487.84,21,7,0,FALSE
11016.6,612.03,28,7,0,FALSE
79979.63,4443.31,50,13,0,FALSE
1659.62,92.2,9,9,0,FALSE
5570.49,309.47,33,4,0,FALSE
7465.89,414.77,21,3,0,FALSE
626797.86,34822.1,103,0,3,FALSE
1165.64,64.76,6,1,0,FALSE
2210.79,122.82,12,0,0,FALSE
135,7.5,6,0,0,FALSE
127457.2,7080.96,50,6,0,FALSE
452.57,25.14,5,0,0,FALSE
6557.23,364.29,12,0,0,FALSE
18831.94,1046.22,55,0,0,FALSE
29690.28,1649.46,43,55,1,FALSE
78099.28,4338.85,76,13,0,FALSE
12003.03,666.83,29,2,0,FALSE
7074.24,393.01,34,3,0,FALSE
3829.06,212.73,16,3,0,FALSE
286.08,15.89,5,0,0,FALSE
13284.98,738.05,20,0,0,FALSE
1140.89,63.38,9,1,0,FALSE
3409.75,189.43,10,0,0,FALSE
3997.78,222.1,12,1,1,FALSE
59167.8,3287.1,39,8,1,FALSE
256.87,14.27,5,9,0,FALSE
8781.18,487.84,21,7,0,FALSE
3181.37,176.74,9,1,0,FALSE
1130.36,62.8,23,0,0,FALSE
1346.57,74.81,11,2,1,FALSE
890.92,49.5,6,0,0,FALSE
933.43,51.86,5,0,0,FALSE
66,3.67,6,0,0,FALSE
35696.56,1983.14,22,0,5,FALSE
14141.06,785.61,20,0,0,FALSE
1308.36,72.69,6,0,0,FALSE
47629.26,2646.07,49,30,0,FALSE
3251.67,180.65,15,0,0,FALSE
2557.63,142.09,16,0,0,FALSE
5110,283.89,21,3,1,FALSE
3332.3,185.13,14,1,0,FALSE
3102.25,172.35,18,5,0,FALSE
5466.44,303.69,16,0,0,FALSE
85.59,4.75,4,0,0,FALSE
13769.86,764.99,17,0,0,FALSE
37289.12,2071.62,56,4,4,FALSE
135395.77,7521.99,71,20,6,FALSE
23005.27,1278.07,21,9,2,FALSE
6090.14,338.34,18,10,0,FALSE
2276.8,126.49,17,9,2,FALSE
26437.57,1468.75,27,6,0,FALSE
6050.37,336.13,12,0,0,FALSE
2966.84,164.82,21,0,0,FALSE
52396.16,2910.9,87,35,2,FALSE
7494.65,416.37,9,3,1,FALSE
218.94,12.16,6,0,0,FALSE
745.37,41.41,11,0,0,FALSE
990,55,11,0,0,FALSE
245.83,13.66,10,7,1,FALSE
475.93,26.44,5,1,0,FALSE
13197.22,733.18,20,0,1,FALSE
12381.56,687.86,39,11,0,FALSE
39.3,2.18,3,3,0,FALSE
190.9,10.61,5,0,0,FALSE
1928.85,107.16,13,0,0,FALSE
381.44,21.19,8,3,0,FALSE
161178.36,8954.35,126,60,4,FALSE
61049.26,3391.63,83,16,1,FALSE
524548.83,29141.6,99,1,4,FALSE
11102.33,616.8,24,3,0,FALSE
109.62,6.09,3,0,0,FALSE
8990.21,499.46,18,0,0,FALSE
3062.5,170.14,17,0,0,FALSE
12094.31,671.91,17,0,0,FALSE
179.38,9.97,8,5,1,FALSE
12381.56,687.86,39,11,0,FALSE
256.87,14.27,5,9,0,FALSE
6557.23,364.29,12,0,0,FALSE
1027.99,57.11,6,0,0,FALSE
348.9,19.38,5,0,0,FALSE
17.41,0.97,3,0,0,FALSE
9929.59,551.64,26,7,2,FALSE
0,0,3,0,0,FALSE
302.05,16.78,5,3,1,FALSE
17452.01,969.56,34,5,0,FALSE
101875.76,5659.76,60,26,3,FALSE
362.64,20.15,5,0,0,FALSE
855.74,47.54,6,2,0,FALSE
47629.26,2646.07,49,30,0,FALSE
871.99,48.44,8,1,0,FALSE
7768.18,431.57,13,0,0,FALSE
1824.39,101.36,20,0,0,FALSE
2024,112.44,12,0,0,FALSE
858.37,47.69,4,0,0,FALSE
666.08,37,7,0,0,FALSE
257.85,14.33,7,16,0,FALSE
2472.31,137.35,14,1,0,FALSE
34042.1,1891.23,43,20,2,FALSE
6090.14,338.34,18,10,0,FALSE
1150.78,63.93,12,0,0,FALSE
39528.58,2196.03,26,9,2,FALSE
1978.37,109.91,20,0,0,FALSE
12578.53,698.81,22,22,0,FALSE
523.51,29.08,7,0,1,FALSE
5849.31,324.96,12,1,0,FALSE
4326.62,240.37,10,0,0,FALSE
7746.14,430.34,13,1,0,FALSE
4729.74,262.76,17,0,0,FALSE
133660.73,7425.6,73,22,3,FALSE
1852.4,102.91,10,3,1,FALSE
392.28,21.79,5,0,0,FALSE
8738.67,485.48,22,14,0,FALSE
7115.55,395.31,12,0,1,FALSE
683.19,37.96,10,0,0,FALSE
2280.63,126.7,14,1,0,FALSE
1569.62,87.2,14,0,0,FALSE
4027.55,223.75,14,13,0,FALSE
6264.19,348.01,19,0,1,FALSE
4666.84,259.26,13,0,0,FALSE
345890.61,19216.15,75,0,0,FALSE
2176.33,120.91,20,0,0,FALSE
4729.74,262.76,17,0,0,FALSE
2885.48,160.3,15,0,0,FALSE
2929.74,162.76,9,0,0,FALSE
12381.56,687.86,39,11,0,FALSE
22027.09,1223.73,38,12,4,FALSE
3111.43,172.86,21,0,1,FALSE
7213.92,400.77,22,5,0,FALSE
3189.17,177.18,13,6,0,FALSE
226.54,12.59,7,1,0,FALSE
8269.85,459.44,13,0,0,FALSE
3685.14,204.73,10,2,0,FALSE
47183.65,2621.31,52,0,0,FALSE
139298.89,7738.83,88,1,0,FALSE
4951.8,275.1,17,0,0,FALSE
1213.88,67.44,8,1,2,FALSE
2687.08,149.28,12,1,0,FALSE
3507.79,194.88,15,8,0,FALSE
2997.34,166.52,7,0,0,FALSE
71132.77,3951.82,82,10,2,FALSE
3033.33,168.52,15,2,0,FALSE
3587.39,199.3,18,2,2,FALSE
110234.42,6124.13,90,0,1,FALSE
150.57,8.36,5,0,0,FALSE
2118.25,117.68,10,9,0,FALSE
24477.25,1359.85,48,4,0,FALSE
2038.87,113.27,10,1,0,FALSE
860.05,47.78,4,0,0,FALSE
997.85,55.44,5,0,0,FALSE
2472.31,137.35,7,0,0,FALSE
2416.01,134.22,10,0,0,FALSE
39.3,2.18,3,1,0,FALSE
7009.12,389.4,13,3,0,FALSE
8126.06,451.45,11,1,0,FALSE
34042.1,1891.23,43,20,2,FALSE
6067.94,337.11,19,0,0,FALSE
232.47,12.92,7,0,0,FALSE
6802.76,377.93,11,3,2,FALSE
2803.1,155.73,13,3,0,FALSE
0,0,0,0,0,FALSE
32955.41,1830.86,20,0,0,FALSE
1123.32,62.41,11,0,0,FALSE
1901.65,105.65,6,8,1,FALSE
39.3,2.18,3,0,0,FALSE
416.75,23.15,7,0,0,FALSE
85440.05,4746.67,80,22,3,FALSE
8738.67,485.48,22,14,0,FALSE
2820.11,156.67,13,0,0,FALSE
513.33,28.52,6,0,1,FALSE
11081.65,615.65,51,8,0,FALSE
174.4,9.69,4,3,1,FALSE
19238.64,1068.81,18,0,0,FALSE
2081.48,115.64,4,0,0,FALSE
6322.3,351.24,20,0,0,FALSE
6498.36,361.02,13,7,2,FALSE
39.3,2.18,3,4,0,FALSE
17485.4,971.41,35,4,0,FALSE
66661.35,3703.41,31,0,17,FALSE
3507.79,194.88,15,8,0,FALSE
4011.84,222.88,16,0,0,FALSE
39.3,2.18,3,0,0,FALSE
851.86,47.33,7,0,0,FALSE
19192.65,1066.26,7,3,3,FALSE
2095.13,116.4,10,0,0,FALSE
629.06,34.95,8,0,0,FALSE
7779.61,432.2,22,0,0,FALSE
906.96,50.39,5,7,1,FALSE
515.71,28.65,10,0,0,FALSE
1873.26,104.07,13,1,0,FALSE
4949.88,274.99,10,0,1,FALSE
3507.79,194.88,15,8,0,FALSE
3343.58,185.75,10,2,0,FALSE
3158.72,175.48,10,0,0,FALSE
18729.81,1040.55,23,0,0,FALSE
7516.89,417.61,22,0,0,FALSE
39.3,2.18,3,1,0,FALSE
8311.04,461.72,23,0,0,FALSE
348.9,19.38,5,0,0,FALSE
234,13,6,0,0,FALSE
2024.24,112.46,7,0,0,FALSE
599.49,33.31,5,0,0,FALSE
85502.74,4750.15,45,0,0,FALSE
5091.75,282.87,18,0,0,FALSE
135,7.5,5,0,0,FALSE
3416.62,189.81,16,0,2,FALSE
85440.05,4746.67,80,22,3,FALSE
16303.48,905.75,28,15,4,FALSE
551.81,30.66,8,0,0,FALSE
92377.54,5132.09,69,0,2,FALSE
1385.31,76.96,14,0,0,FALSE
135,7.5,5,0,0,FALSE
5702.11,316.78,20,3,0,FALSE
90,5,3,0,0,FALSE
29769.28,1653.85,24,1,0,FALSE
255.97,14.22,7,0,0,FALSE
1686.86,93.71,7,2,1,FALSE
59529.74,3307.21,27,0,0,FALSE
77553.76,4308.54,62,1,0,FALSE
3013.13,167.4,12,1,0,FALSE
15307.48,850.42,27,12,5,FALSE
39.3,2.18,3,0,0,FALSE
2039.01,113.28,10,0,0,FALSE
7052.69,391.82,13,7,0,FALSE
548.26,30.46,6,0,0,FALSE
50005.31,2778.07,28,12,7,FALSE
3438.37,191.02,12,0,0,FALSE
1141.33,63.41,12,0,0,FALSE
8869.57,492.75,19,0,2,FALSE
2692.01,149.56,14,1,0,FALSE
6794.05,377.45,16,0,2,FALSE
196.76,10.93,5,0,0,FALSE
570.49,31.69,13,0,0,FALSE
1915.2,106.4,11,3,0,FALSE
13541.31,752.29,19,0,0,FALSE
431.59,23.98,6,0,0,FALSE
2472.31,137.35,14,1,0,FALSE
20489.85,1138.33,17,1,0,FALSE
369.2,20.51,8,0,0,FALSE
305254.16,16958.56,83,31,0,FALSE
1962.54,109.03,21,0,0,FALSE
272550.45,15141.69,136,0,4,FALSE
135,7.5,5,0,0,FALSE
3004.05,166.89,22,0,0,FALSE
519.62,28.87,4,0,0,FALSE
9073.67,504.09,20,3,0,FALSE
14758.99,819.94,13,0,0,FALSE
717.43,39.86,4,0,0,FALSE
4760.62,264.48,11,3,1,FALSE
11307.85,628.21,22,1,0,FALSE
6794.05,377.45,16,0,2,FALSE
3192,177.33,11,0,0,FALSE
124.54,6.92,5,0,0,FALSE
85.59,4.75,3,1,0,FALSE
861.74,47.87,7,0,0,FALSE
449.97,25,5,0,0,FALSE
240,13.33,7,16,0,FALSE
544.91,30.27,6,0,0,FALSE
1308.36,72.69,7,0,0,FALSE
6688.01,371.56,32,3,4,FALSE
593.95,33,7,2,0,FALSE
12,0.67,3,0,0,FALSE
884.62,49.15,11,0,0,FALSE
5469.43,303.86,18,0,1,FALSE
139356.3,7742.02,62,0,1,FALSE
380.74,21.15,8,0,0,FALSE
5718.84,317.71,9,0,0,FALSE
25572.65,1420.7,31,12,2,FALSE
1265.83,70.32,10,0,0,FALSE
85416.04,4745.34,80,8,1,FALSE
322.65,17.92,5,0,0,FALSE
10977.26,609.85,27,12,3,FALSE
7669.86,426.1,31,0,0,FALSE
3033.33,168.52,15,2,0,FALSE
387.18,21.51,5,0,0,FALSE
1909.77,106.1,12,0,0,FALSE
20327.14,1129.29,24,0,0,FALSE
305.12,16.95,6,0,0,FALSE
1416.52,78.7,9,3,0,FALSE
53973.44,2998.52,61,0,0,FALSE
2344.27,130.24,9,2,1,FALSE
3033.33,168.52,15,2,0,FALSE
515.71,28.65,10,0,0,FALSE
449.4,24.97,7,6,0,FALSE
65170.26,3620.57,34,0,1,FALSE
27034.74,1501.93,20,20,0,FALSE
302.3,16.79,4,0,0,FALSE
19978.47,1109.91,15,0,0,FALSE
2344.27,130.24,9,2,1,FALSE
139.52,7.75,8,0,0,FALSE
4494.57,249.7,14,0,0,FALSE
1210,67.22,7,0,0,FALSE
12465.06,692.5,14,7,0,FALSE
12659.07,703.28,29,0,0,FALSE
4947.97,274.89,11,0,0,FALSE
43734.03,2429.67,39,10,0,FALSE
17.41,0.97,3,0,0,FALSE
9407.91,522.65,39,1,0,FALSE
2401.13,133.4,7,0,0,FALSE
4472.22,248.46,11,0,0,FALSE
5067.07,281.5,17,0,1,FALSE
4258.52,236.58,22,6,0,FALSE
449.4,24.97,7,7,0,FALSE
1529.25,84.96,7,0,0,FALSE
79066.26,4392.57,81,21,2,FALSE
12,0.67,3,1,0,FALSE
742.59,41.25,8,0,1,FALSE
24335.63,1351.98,31,2,0,FALSE
2497.28,138.74,8,2,0,FALSE
5076.47,282.03,18,0,0,FALSE
3126.53,173.7,14,0,0,FALSE
1282.82,71.27,6,0,0,FALSE
460,25.56,6,7,0,FALSE
2336,129.78,8,0,0,FALSE
0,0,0,0,0,FALSE
122205.27,6789.18,123,0,0,FALSE
487.35,27.07,7,0,0,FALSE
1899.9,105.55,13,6,0,FALSE
12206.72,678.15,21,47,0,FALSE
150.57,8.36,5,0,0,FALSE
5615.72,311.98,10,0,0,FALSE
1623.23,90.18,5,0,0,FALSE
2375.83,131.99,8,0,0,FALSE
81861.96,4547.89,90,1,1,FALSE
4258.52,236.58,22,6,0,FALSE
124.54,6.92,5,0,0,FALSE
707027.78,39279.32,69,0,0,FALSE
20407.1,1133.73,24,0,0,FALSE
3399.65,188.87,12,0,0,FALSE
67.5,3.75,4,0,0,FALSE
254.27,14.13,5,0,0,FALSE
344.16,19.12,4,0,0,FALSE
154273.13,8570.73,49,0,1,FALSE
1588.72,88.26,7,0,0,FALSE
4196.62,233.15,20,24,1,FALSE
4923.53,273.53,15,9,3,FALSE
39.3,2.18,3,0,0,FALSE
31928.52,1773.81,44,0,0,FALSE
10701.74,594.54,21,0,0,FALSE
177.62,9.87,6,0,0,FALSE
764.63,42.48,8,0,0,FALSE
1,1,1,1,1,TRUE
57833.24,3212.96,80,44,11,TRUE
72282.68,4015.7,97,41,12,TRUE
15166.52,842.58,29,7,0,TRUE
226588.75,12588.26,103,32,4,TRUE
6459.19,358.84,23,0,0,TRUE
2730637.23,151702.06,600,40,2,TRUE
7127.8,395.99,28,3,1,TRUE
34338.99,1907.72,34,2,2,TRUE
81152.69,4508.48,57,14,13,TRUE
69.74,3.87,5,0,0,TRUE
27356.45,1519.8,35,15,2,TRUE
70100.61,3894.48,66,38,24,TRUE
4451.81,247.32,18,25,1,TRUE
94929.66,5273.87,150,62,2,TRUE
7516.89,417.61,22,0,0,TRUE
7446.38,413.69,16,9,1,TRUE
69.74,3.87,6,0,0,TRUE
301439.38,16746.63,84,20,0,TRUE
18980.62,1054.48,29,9,0,TRUE
